rank dist[kpc] age[Myr] EDOT[erg/s]
1 0.488 840.9 1.8e+35
2 0.157 1593.1 1.2e+34
3 0.408 4175.1 5.3e+34
4 0.106 5839.3 3.6e+33
5 0.191 6338.5 9.2e+33
6 0.215 9167.5 9.2e+33
7 0.386 2898.4 2.2e+34
8 0.278 6759.6 9.7e+33
9 0.995 999.5 1.2e+35
10 0.206 8346.3 4.3e+33
11 0.420 2581.3 1.8e+34
12 3.500 235.0 1.1e+36
13 0.506 2803.3 2.2e+34
14 1.400 1512.1 1.6e+35
15 5.370 29.9 2.2e+36
16 0.372 7510.7 8.7e+33
17 0.926 3900.7 4.7e+34
18 0.600 3357.4 1.9e+34
19 0.769 3466.9 3.0e+34
20 0.413 5494.8 8.7e+33
21 0.667 2865.6 2.2e+34
22 1.233 2769.2 6.6e+34
23 4.396 144.1 8.0e+35
24 0.951 2106.5 3.7e+34
25 0.410 3800.4 6.8e+33
26 1.100 1737.7 4.9e+34
27 1.190 3861.7 5.7e+34
28 0.709 862.2 1.9e+34
29 0.214 29791.6 1.7e+33
30 1.461 979.9 7.7e+34
31 1.443 1836.7 7.5e+34
32 1.300 3061.5 6.0e+34
33 1.613 2410.4 9.1e+34
34 0.395 7229.7 5.2e+33
35 0.714 2860.6 1.7e+34
36 0.329 7581.4 3.5e+33
37 0.523 7436.4 8.5e+33
38 0.978 2304.2 2.9e+34
39 1.562 2260.5 6.8e+34
40 4.520 87.0 5.4e+35
41 1.744 807.5 8.1e+34
42 1.646 3002.6 6.9e+34
43 0.700 5190.0 1.2e+34
44 3.150 475.8 2.4e+35
45 1.042 5026.5 2.6e+34
46 1.950 1554.5 9.0e+34
47 0.817 2977.5 1.5e+34
48 2.482 344.5 1.4e+35
49 0.600 7082.1 7.3e+33
50 1.300 2452.2 3.4e+34
51 0.908 3051.7 1.6e+34
52 1.100 3242.3 2.3e+34
53 1.251 5821.7 2.9e+34
54 1.429 3547.5 3.7e+34
55 0.840 12986.4 1.2e+34
56 6.410 164.8 7.2e+35
57 0.987 6354.2 1.7e+34
58 3.106 550.9 1.7e+35
59 1.140 3331.1 2.2e+34
60 1.349 5992.5 3.0e+34
61 1.291 4217.4 2.6e+34
62 1.150 3752.7 2.0e+34
63 4.395 414.5 2.9e+35
64 1.389 3061.8 2.9e+34
65 2.173 2222.7 7.0e+34
66 0.636 5122.8 5.9e+33
67 0.950 5061.1 1.3e+34
68 0.336 11412.7 1.6e+33
69 0.340 6707.9 1.7e+33
70 2.432 1098.3 8.1e+34
71 0.925 5938.1 1.2e+34
72 0.740 3968.3 7.4e+33
73 1.170 5321.2 1.8e+34
74 0.921 9945.6 1.1e+34
75 8.020 25.6 8.3e+35
76 1.001 7905.4 1.2e+34
77 4.410 193.4 2.3e+35
78 6.620 338.6 5.2e+35
79 2.361 1238.3 6.5e+34
80 0.714 13186.7 5.8e+33
81 1.853 2443.6 3.8e+34
82 0.971 4719.3 1.0e+34
83 1.567 2269.7 2.6e+34
84 1.190 3163.8 1.5e+34
85 0.930 5466.7 8.8e+33
86 1.069 4120.3 1.2e+34
87 0.226 3322.2 5.0e+32
88 2.773 1239.8 7.4e+34
89 0.700 4864.7 4.7e+33
90 1.227 4259.0 1.4e+34
91 1.800 2967.1 3.0e+34
92 2.222 1080.5 4.5e+34
93 0.911 3633.3 7.6e+33
94 0.269 896.3 6.5e+32
95 1.830 368.3 2.9e+34
96 6.410 166.7 3.6e+35
97 2.083 3203.9 3.7e+34
98 1.208 9070.3 1.2e+34
99 2.430 1936.1 4.9e+34
100 0.988 11175.4 8.1e+33
